timestamp,symbol,price,volume,change,change_percent,date,hour,minute
2025-12-07 13:38:02.690406,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,38
2025-12-07 13:38:02.958409,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,38
2025-12-07 13:38:03.265787,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,38
2025-12-07 13:38:03.572738,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,38
2025-12-07 13:38:03.880196,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,38
2025-12-07 13:39:04.133903,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,39
2025-12-07 13:39:04.399409,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,39
2025-12-07 13:39:04.706993,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,39
2025-12-07 13:39:05.015251,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,39
2025-12-07 13:39:05.321026,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,39
2025-12-07 13:40:05.636529,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,40
2025-12-07 13:40:05.945373,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,40
2025-12-07 13:40:06.250557,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,40
2025-12-07 13:40:06.557908,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,40
2025-12-07 13:40:06.968354,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,40
2025-12-07 13:41:07.282264,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,41
2025-12-07 13:41:07.589346,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,41
2025-12-07 13:41:07.896748,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,41
2025-12-07 13:41:08.144302,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,41
2025-12-07 13:41:08.410111,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,41
2025-12-07 13:42:08.724268,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,42
2025-12-07 13:42:09.030257,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,42
2025-12-07 13:42:09.338589,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,42
2025-12-07 13:42:09.570553,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,42
2025-12-07 13:42:09.807146,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,42
2025-12-07 13:43:10.062567,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,43
2025-12-07 13:43:10.369241,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,43
2025-12-07 13:43:10.676692,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,43
2025-12-07 13:43:10.983684,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,43
2025-12-07 13:43:11.291396,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,43
2025-12-07 13:44:11.605864,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,44
2025-12-07 13:44:11.914113,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,44
2025-12-07 13:44:12.220412,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,44
2025-12-07 13:44:12.527299,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,44
2025-12-07 13:44:12.834929,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,44
2025-12-07 13:45:13.070323,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,45
2025-12-07 13:45:13.354447,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,45
2025-12-07 13:45:13.586518,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,45
2025-12-07 13:45:13.866038,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,45
2025-12-07 13:45:14.174184,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,45
2025-12-07 13:46:14.488765,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,46
2025-12-07 13:46:14.796651,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,46
2025-12-07 13:46:15.102444,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,46
2025-12-07 13:46:15.409746,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,46
2025-12-07 13:46:15.717064,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,46
2025-12-07 13:47:16.031862,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,47
2025-12-07 13:47:16.338571,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,47
2025-12-07 13:47:16.645762,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,47
2025-12-07 13:47:16.954431,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,47
2025-12-07 13:47:17.260528,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,47
2025-12-07 13:48:17.518498,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,48
2025-12-07 13:48:17.747015,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,48
2025-12-07 13:48:17.985197,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,48
2025-12-07 13:48:18.220461,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,48
2025-12-07 13:48:18.455980,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,48
2025-12-07 13:49:18.709002,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,49
2025-12-07 13:49:19.016493,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,49
2025-12-07 13:49:19.323240,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,49
2025-12-07 13:49:19.630417,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,49
2025-12-07 13:49:19.938474,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,49
2025-12-07 13:50:20.250673,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,50
2025-12-07 13:50:20.762760,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,50
2025-12-07 13:50:21.068966,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,50
2025-12-07 13:50:21.580994,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,50
2025-12-07 13:50:21.888239,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,50
2025-12-07 13:51:22.197277,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,51
2025-12-07 13:51:22.426336,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,51
2025-12-07 13:51:22.653010,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,51
2025-12-07 13:51:22.914173,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,51
2025-12-07 13:51:23.325113,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,51
2025-12-07 13:52:23.633316,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,52
2025-12-07 13:52:23.941061,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,52
2025-12-07 13:52:24.247841,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,52
2025-12-07 13:52:24.520598,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,52
2025-12-07 13:52:24.760606,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,52
2025-12-07 13:53:25.070784,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,53
2025-12-07 13:53:25.377055,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,53
2025-12-07 13:53:25.683696,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,53
2025-12-07 13:53:25.993032,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,53
2025-12-07 13:53:26.300856,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,53
2025-12-07 13:54:26.609801,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,54
2025-12-07 13:54:26.915128,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,54
2025-12-07 13:54:27.222387,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,54
